"",N,N,%,%,%
"Total, País","2,837","308,882",20.6,22.1,57.3
Edad,,,,,
0 - 5 meses,292,"33,696",13.2,15.4,71.3
6 -35 meses,"1,370","149,524",20.1,22.9,56.9
36 - 59 meses,"1,175","125,662",23.1,22.8,54.1
