"",N,N,%,%,%
"Total, País","2,837","308,882",20.6,22.1,57.3
"Área geográfica",,,,,
Urbana,"1,263","171,317",13.8,19.7,66.5
Rural Total,"1,574","137,564",29.0,25.1,45.9
Rural no indígena,"1,080","99,468",18.5,25.7,54.1
Rural indígena,494,"38,096",56.6,23.5,19.9
