"",Muestra,Expandida,X̄,EE,X̄,EE
"Total, País","2,837","308,882",85.00,0.33,- 0.88,0.05
Sexo,,,,,,
Masculino,"1,468","160,105",85.10,0.44,- 0.99,0.06
Femenino,"1,369","148,777",84.89,0.48,- 0.77**,0.06
"",,,,,,
Grupo de edad,,,,,,
0 - 5 meses,292,"336,96",59.06,0.45,-0.48,0.12
6 -35 meses,"1,370","149,524",79.89**,0.27,-0.92**,0.06
36 - 59 meses,"1,175","125,662",98.03**,0.31,-0.95**,0.07
