"",N,N,%,%,%
"Total, País","2,837","308,882",20.6,22.1,61.5
línea de Pobreza,,,,,
No Pobre,"1,124","145,244",10.2,18.4,77.1
Pobreza Total,"1,713","163,637",29.8***,25.3,47.7
Extrema,"1,022","85,933",39.6***,29.3,32.5
No extrema,691,"77,704",19.1**,20.8,64.5
