"",n,n,%,%,%,%,%
"Total, País","2,891","313,079",6.8,22.1,57.9,9.2,4.1
Sexo,,,,,,,
Masculino,,,,,,,
"","1,487","161,527",6.8,23.2,57.8,8.4,3.8
Femenino,,,,,,,
"","1,404","151,552",6.7,21.0,57.9,10.0,4.4
Edad,,,,,,,
"",,,,,,,
0 - 5 meses,302,"34,942",3.4,8.9,58.1,21.1,8.5
6 -35 meses,"1,401","151,384",7.7**,22.9,57.1,9.1,3.2**
36 - 59 meses,"1,188","126,753",6.6**,24.9,58.7,5.9,4.0**
